objectid,image_thumb,image_small,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll021,,,sarahstelle.jpg,,,Gravestone of Sarah Stelle,,1781-11-29,"Gravestone of Sarah Stelle (1781), Piscatawaytown Burial Ground, Edison, Middlesex County, New Jersey, USA",Piscatawaytown Burial Ground; St. James Episcopal Anglican Church; Anglican; Episcopalian; red stone; sandstone; Stelle family; Sarah Steele; Samuel Stelle; wigged cherub; cherub; vegetation; poem; female,"Edison, NJ",40.50073,-74.39615,"Laura Leibman, photographer, 2024",sarahstelle,Image;Stillimage,image/jpeg,eng,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll022,,,clarkson.jpg,,,"Gravestone of John Clarkson (1757), Piscatawaytown Burial Ground, Edison, Middlesex County, New Jersey, USA",Anonymous,1757,"Plainstyle Slate Gravestone of John Clarkson (1757), Piscatawaytown Burial Ground, Edison, Middlesex County, New Jersey, USA",Piscatawaytown Burial Ground; St. James Episcopal Anglican Church; Anglican; Episcopalian; slate; Clarkson family; John Clarkson; plain style; male,"Edison, NJ",40.50073,-74.39615,"Laura Leibman, photographer, 2024",clarkson,Image;Stillimage,image/jpeg,eng,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll023,,,elizabethp.jpg,,,"Gravestone of Elizabeth Piatt (1742), Piscatawaytown Burial Ground, Edison, Middlesex County, New Jersey, USA",Grinch Carver,1780-09-30,"Grinch faced cherub on Gravestone of Elizabeth Piatt (1742), Piscatawaytown Burial Ground. Elizabeth is the wife of James Pyatt Jr.",Cherub; Grinch; In memory of; wiged cherub; Piscatawaytown Burial Ground; St. James Episcopal Anglican Church; Anglican; Episcopalian; slate; Piatt family; Elizabeth Piatt; plain style; Pyatt family; female,"Edison, NJ",40.50073,-74.39615,"Laura Leibman, photographer, 2024",elizabethp,Image;Stillimage,image/jpeg,eng,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll024,,,hiphzibithwoolege.jpg,,,"Gravestone of Hiphzibith Woollege (1766), Piscatawaytown Burial Ground, Edison, Middlesex County, New Jersey, USA",Pear-headed carver,1766-03-02,"Pear-headed cherub on the Gravestone of Hiphzibith Woollege (1766), Piscatawaytown Burial Ground. The pear-headed ververs were a group of gravestone carvers in eighteenth-century New Jersey that included Uzal Ward, William Grant, and at least three anonymous carvers. Pear-headed cherub on the Gravestone of Hiphzibith Woollege (1766), Piscatawaytown Burial Ground. Hiphzibith Woollege is the wife of John Woollege.",cherub; Pear-headed cherub; kinship marker; wife; Woollege family; Hiphzibith Woollege; Piscatawaytown Burial Ground; St. James Episcopal Anglican Church; Anglican; Episcopalian; slate; female,"Edison, NJ",40.50073,-74.39615,"Laura Leibman, photographer, 2024",hiphzibithwoolege,Image;Stillimage,image/jpeg,eng,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll025,,,detailmarcysteele.jpg,,,"Gravestone of Marcy (Hull) Stelle (1746), Piscatawaytown Burial Ground, Edison, Middlesex County, New Jersey, USA",William Stevens,1746-12-21,"Gravestone of Marcy (Hull) Stelle (1746), Piscatawaytown Burial Ground with slate wiged cherub by Wiliiam Stevens. Stelle was the wife of Benjamin Stelle and the daughter of minister of the Baptist Society, Samuel and Mary Hull.",cherub; wiged cherub; kinship marker; wife; Marcy (Hull) Stelle; Marcy Hull; Marcy Stelle; Stelle family;  Piscatawaytown Burial Ground; St. James Episcopal Anglican Church; Anglican; Episcopalian; slate; Baptist; Benjamin Stelle; Hull Family; lilypod; flowers; vegetative; female,"Edison, NJ",40.50073,-74.39615,"Laura Leibman, photographer, 2024",detailmarcysteele,Image;Stillimage,image/jpeg,eng,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll026,,,racheldunn.jpg,,,"Gravestone of Rachel (Thompson) Dunn (1777), Piscatawaytown Burial Ground, Edison, Middlesex County, New Jersey, USA",Grinch Carver,1777-07-17,"Wiged Cherub on Gravestone of Rachel (Thompson) Dunn (1777), Piscatawaytown Burial Ground. Rachel was the Wife of Benjamin Dunn and late widow of ""John Sveele"" [sic John Stelle], Esq. She died at the age of 24
","cherub; wiged cherub; kinship marker; wife; widow, daughter; Dunn Family; John Stelle; Rachel (Thompson) Dunn; Rachel Thompson; Rachel Dunn; Rachel Stelle; Stelle family;  Piscatawaytown Burial Ground; St. James Episcopal Anglican Church; Anglican; Episcopalian; female; poem; Sandstone; sandstone; Esquire","Edison, NJ",40.50073,-74.39615,"Laura Leibman, photographer, 2024",racheldunn,Image;Stillimage,image/jpeg,eng,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll027,,,thomasrattoone.jpg,,,"Gravestone of Thomas Rattoone (1739), Saint Peters Churchyard, Perth Amboy, Middlesex County, New Jersey, USA",Anonymous,1739-01-10,"Example of Death's Head on Gravestone of Thomas Rattoone (1739), Saint Peters Churchyard, Perth Amboy, Middlesex County, New Jersey, USA",Here Lies; Death's Head; Eighteenth Century; Male; Upright; Doorway Shape; Perth Amboy; Episcopal Church; Protestant; 1730s; Thomas Rattoone; Rattoone Family; Winged Death's Head; Saint Peters Churchyard Cemetery; Sandstone,"Perth Amboy, New Jersey",40.50373,-74.26565,"Laura Leibman, photographer, 2024",thomasrattoone,Image;Stillimage,image/jpeg,eng,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll028,,,deathbanner2.jpg,,,"Header from Funeral Broadside. ""An elegy in memory of the worshipful Major Thomas Leonard Esq. Of Taunton in New-England""",Samuel Danforth,1713-11-24,"Funeral Broadside. ""An elegy in memory of the worshipful Major Thomas Leonard Esq. Of Taunton in New-England: who departed this life on the 24th day of November, AnnoDomini, 1713. In the 73d year of his age. [Boston. Printed by B. Green? 1713]"" (Library of Congress, Rare Book and Special Collections Division). Coffins were decorated with funerary verses composed for the deceased, and were often distributed in broadside form at major expense (Stannard THE PURITAN WAY OF DEATH 113, 117). These verses, like Mayhew’s biographies, emphasized the presence of divine Grace in the lives of dead and hence reassured the mourners that the deceased was among the saved. The broadsides were often illustrated with iconography similar to that of gravestones with death’s heads, scythes, hourglasses, and the like (Stannard THE PURITAN WAY OF DEATH 117). These icons warned the mourner of the passage of time and helped prepare him for his own meeting with death.",Broadside; Momento Mori; Skeleton; Hourglass; Winged Time; Elegy; Puritan; Protestant; Funeral; 1710s,"Taunton, MA",41.9001,-71.0898,Samuel Danforth,deathbanner2,Image;Stillimage,image/jpeg,eng,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
mk8440,,,Annatje van La Parra.jpg,,,Gravestone of Annatje van La Parra,Anonymous,1860-10-03,"Gravestone of Anneatje van La Parra (1860) located in the Creole Cemetery, Jodensavanne, Suriname",Kwon; Afro-surinamese; Suriname; horizontal,"Jodensavanne, Suriname",5.43187,-54.98108,Laura Leibman,3309,Image;stillimage,image/jpeg,eng,Public Domain,https://rightsstatements.org/page/NoC-US/1.0/?language=en
mk8441,,,Margaret Rivera.jpg,,,Gravestone of Margaret Rivera,Anonymous,1771-03-16,"Gravestone of Margaret Rivera (1771) located in God's Little Acre (Newport, RI).",African American; Cherub; Quaker; Wife; Kwon,"Newport, RI",41.49652,-71.31631,Laura Leibman,2376,Image;stillimage,image/jpeg,eng,Public Domain,https://rightsstatements.org/page/NoC-US/1.0/?language=en
